Categoría;Subcategoría
Movilización;Bencina
Movilización;Autopistas
Movilización;Parking
Movilización;Revisión Técnica
Movilización;Seguro
Movilización;Bip
Movilización;Otros
Salud;Consultas médicas
Salud;Exámenes y Procedimientos
Salud;Seguro salud
Salud;Farmacia
Salud;Sicólogo
Salud;AFP
Salud;Isapre
Salud;otros
Mascotas;Veterinario
Mascotas;Pet Shop
Mascotas;Otros
Cuentas básicas;Luz
Cuentas básicas;Agua
Cuentas básicas;Gas
Cuentas básicas;Internet
Cuentas básicas;Celular
Cuentas básicas;Mantención CC y TC
Cuentas básicas;Donación
Cuentas básicas;Otros
Deudas;Hipotecario
Deudas;Otros
Inversiones;DAP
Inversiones;Trading
Inversiones;Acciones
Inversiones;Otros
Plataformas / Suscripciones;Netlifx
Plataformas / Suscripciones;Chatgpt
Plataformas / Suscripciones;Spotify
Plataformas / Suscripciones;Crunchyroll
Plataformas / Suscripciones;Otros
Entretención / Deporte;Muni las condes
Entretención / Deporte;Gym
Entretención / Deporte;Cine / Teatro
Entretención / Deporte;Otros
Alimentación;Supermercado
Alimentación;Uber eats / otros
Alimentación;Restaurantes
Alimentación;Otros
Compras;Casa
Compras;Personales
Compras;Aliexpress / Shein
Compras;Peluquería
Compras;Tecnología
Compras;Otros
